Index;Date;Name;Description;Amount_raised;Amount_number;Data AI keyword;Series
399;March 30, 2022;Sales Impact Academy;a Seattle-based learning platform for sales and marketing;$22 million;22;FALSE;Unknown
400;March 30, 2022;Kooply;a Tel Aviv-based mobile gaming platform;$18 million;18;FALSE;Seed
401;March 30, 2022;Bonsai;a Toronto-based e-commerce platform;$22 million;22;FALSE;Series A
402;March 30, 2022;Garden.io;a Berlin-based development and testing platform for Kubernetes and the cloud;$16 million;16;FALSE;Series A
403;March 30, 2022;BeamUP;a Tel Aviv-based building systems design software developer;$15 million;15;FALSE;Seed
404;March 30, 2022;Altoida;a Washington D.C.-based brain health assessment and neurocognitive testing platform;$14 million;14;FALSE;Series A
405;March 30, 2022;OmniML;a San Jose, Calif.-based machine learning models developer;$10 million;10;TRUE;Seed
406;March 30, 2022;Leaf;a Los Angeles-based food and agricultural data infrastructure company;$5 million;5;TRUE;Seed
407;March 30, 2022;Swaypay;a Chicago-based payment plug-in earning shoppers cashback via social media;$4.2 million;4,2;FALSE;Seed
408;March 30, 2022;Nurse-1-1;a Boston-based healthcare marketing company;$2.3 million;2,3;FALSE;Seed
409;March 30, 2022;RoundlyX;a Richmond, Va.-based digital asset wealth management platform;$2 million;2;FALSE;Seed
410;March 31, 2022;Chief;a New York-based women’s networking group;$100 million;100;FALSE;Series B
411;March 31, 2022;Beewise;a Beit Haemek, Israel and Sacramento, Calif.-based climatech robotics company for bees;$80M;80;FALSE;Series C
412;March 31, 2022;Cyera;a Tel Aviv-based cloud data security company;$60 million;60;TRUE;Unknown
413;March 31, 2022;Modern Treasury;a San Francisco-based payments software platform;$50 million;50;FALSE;Series C
414;March 31, 2022;Cyberpion;a Kirkland, Wash.-based cybersecurity company with a focus in external attack surface management;$27 million;27;TRUE;Series A
415;March 31, 2022;Home365;a San Jose, Calif.-based real estate investing and property management platform;$26 million;26;FALSE;Series B
416;March 31, 2022;​​Apploi;a New York-based recruiting, onboarding, and credential management software company;$25 million;25;FALSE;Series B
417;March 31, 2022;Black Crow AI;a New York-based machine learning infrastructure company;$25 million;25;TRUE;Series A
418;March 31, 2022;Cloaked;a Boston-based consumer-based privacy company;$25 million;25;FALSE;Series A
419;March 31, 2022;AmplifyMD;a San Francisco-based telemedicine platform connecting medical institutions with doctors;$17.6 million;17,6;FALSE;Series A
420;March 31, 2022;Flux Marine;a Bristol, R.I.-based electric outboard motors and battery systems developer for boats;$15.5 million;15,5;FALSE;Series A
421;March 31, 2022;Lucra Sports;a San Francisco-based sports betting platform;$10 million;10;FALSE;Series A
422;March 31, 2022;LIV;a remote-based VR/AR self-recording platform;$8.5 million;8,5;FALSE;Series A
423;March 31, 2022;Reema Health;a Minneapolis, Minn.-based health technology platform;$8 million;8;FALSE;Unknown
424;March 31, 2022;Sona;a London-based work management platform for deskless employees;$7 million;7;FALSE;Seed
425;March 31, 2022;Out Of Office;a Chicago-based recommendation-based travel app;$3.5 million;3,5;FALSE;Seed
426;March 31, 2022;Dapio;a London-based cashless payment solutions provider for businesses;$3.4 million;3,4;FALSE;Unknown
427;March 31, 2022;RenewaFi;a New York-based renewable energy marketplace;$3 million;3;FALSE;Unknown
428;March 31, 2022;My Telescope;a Stockholm-based market intelligence and search startup;$2.78 million;2,78;FALSE;Seed
429;March 31, 2022;ShearShare;a Buffalo, N.Y.-based B2B beauty app;$2.3 million;2,3;FALSE;Seed
430;March 31, 2022;Pacto;a Mexico City-based ordering and payments platform for SMB merchants in Latin America;$2 million;2;FALSE;Seed
431;April 1, 2022;Cross River;a Fort Lee, N.J.-based technology infrastructure provider for financial service companies;$620 million;620;FALSE;Unknown
432;April 1, 2022;LayerZero Labs;a Vancouver-based blockchain protocol developed to connect decentralized applications across multiple blockchains;$135 million;135;FALSE;Unknown
433;April 1, 2022;Docker;a Palo Alto, Calif.-based application development provider of tools, content, and services for developers;$105 million;105;FALSE;Series C
434;April 1, 2022;Neuron23;a San Francisco-based biotechnology company focused on developing medicines for genetically defined neurological and immunological diseases;$100 million;100;FALSE;Series C
435;April 1, 2022;Hadrian;a Hawthorne, Calif.-based space startup focused on aerospace and defense manufacturing through autonomous production;$90 million;90;FALSE;Series A
436;April 1, 2022;Flight Schedule Pro;a Kansas City, Mo.-based business management software provider for flight schools, universities, flying clubs, and other aviation constituents;$31 million;31;FALSE;Unknown
437;April 1, 2022;Yonder;a London-based credit card provider;$26 million;26;FALSE;Unknown
438;April 1, 2022;Dagger;a San Francisco-based devops platform that delivers applications to the cloud;$20 million;20;FALSE;Series A
439;April 1, 2022;VideaHealth;a Boston-based dental diagnostic A.I. solution;$20 million;20;TRUE;Series A
440;April 1, 2022;Wing Security;a Tel Aviv-based security management platform for software applications;$20 million;20;TRUE;Series A
441;April 1, 2022;TransFICC;a London-based e-trading platform;$17 million;17;FALSE;Series A
442;April 1, 2022;Airhouse;a San Francisco-based e-commerce operations platform;$11 million;11;FALSE;Series A
443;April 1, 2022;Inner Cosmos;a Portola Valley, Calif.-based neurotechnology company focused on alleviating cognitive disorders;$10 million;10;FALSE;Seed
444;April 1, 2022;tru.ID;a San Francisco and London-based passwordless authentication platform;$9 million;9;FALSE;Unknown
445;April 1, 2022;Jia Finance;a Wilmington, Del.-based online residential mortgage platform for foreign investors;$5 million;5;FALSE;Seed
446;April 1, 2022;Archie;a New York-based freelance payroll platform;$4.5 million;4,5;FALSE;Seed
447;April 1, 2022;Wing Assistant;an Irvine, Calif.-based company connecting businesses to remote talent;$2.1 million;2,1;FALSE;Seed
448;April 8, 2022;Netomnia;a Tewkesbury, Gloucestershire, U.K.-based fiber network startup;$385 million;385;FALSE;Unknown
449;April 8, 2022;LogicSource;a South Norwalk, Conn.-based procurement services and technology solutions provider;$180 million;180;FALSE;Unknown
450;April 8, 2022;Jüsto;a Mexico City-based online grocer in Latin America;$152 million;152;FALSE;Series B
451;April 8, 2022;Clarify Health;a San Francisco-based cloud analytics and value-based payments platform company;$150 million;150;TRUE;Series D
452;April 8, 2022;SamCart;an Austin and Washington D.C.-based eCommerce platform for creators;$82 million;82;FALSE;Series B
453;April 8, 2022;EDO;a Los Angeles-based data, measurement, and analytics software company;$80 million;80;TRUE;Unknown
454;April 8, 2022;Coro;a New York-based cyber security platform;$60 million;60;TRUE;Series C
455;April 8, 2022;OpenPhone;a remote-based phone system for business;$40 million;40;FALSE;Series B
456;April 8, 2022;e-Zinc;a Toronto-based energy storage company;$25 million;25;FALSE;Series A
457;April 8, 2022;ReadySet;a remote-based database acceleration company;$24 million;24;TRUE;Series A
458;April 8, 2022;Eleos Health;a Boston and Tel Aviv-based behavioral health application for voice A.I.;$20 million;20;TRUE;Series A
459;April 8, 2022;Better Origin;a Cambridge, U.K.-based agritech startup using A.I.-powered insect mini-farms for the food chain;$16 million;16;TRUE;Series A
460;April 8, 2022;Community Gaming;a New York-based online gaming tournament software platform that offers cryptocurrency in exchange for gameplay;$16 million;16;FALSE;Series A
461;April 8, 2022;Codetta Biosciences;a Morrisville, N.C.-based medical platform developer for clinical diagnostics;$15 million;15;FALSE;Series A
462;April 8, 2022;Cottage;a San Francisco-based software platform and marketplace allowing homeowners and contractors to build accessory dwelling units (ADUs);$15 million;15;FALSE;Series A
463;April 8, 2022;Creative Juice;a San Francisco-based creator-focused banking platform;$15 million;15;FALSE;Series A
464;April 8, 2022;KarmaCheck;a San Francisco-based company providing background checks during the hiring process;$15 million;15;FALSE;Series A
465;April 8, 2022;Doceree;a Parsippany, N.J.-based physician marketing platform;$11 million;11;FALSE;Series A
466;April 8, 2022;Prepared;a New York-based emergency services technology developer;$9.8 million;9,8;FALSE;Seed
467;April 8, 2022;Liminal;an Emeryville, Calif.-based battery manufacturing intelligence company;$8 million;8;FALSE;Series A
468;April 8, 2022;Landed;a Bay Area, Calif.-based recruitment platform for the restaurant and hospitality industries;$7 million;7;FALSE;Seed
469;April 8, 2022;Waterplan;a San Francisco-based water resilience planning SaaS platform;$7 million;7;FALSE;Seed
470;April 8, 2022;Flow Club;a San Francisco-based virtual community for remote and flexible workers;$5 million;5;FALSE;Unknown
471;April 8, 2022;Trustap;a Cork, Ireland-based digital transaction platform;$3.4 million;3,4;FALSE;Seed
472;April 8, 2022;Tribute;a New York-based video group montage service;$3 million;3;FALSE;Seed
473;April 8, 2022;​​Arogga;a Dhaka, Bangladesh-based online pharmacy;$1.3 million;1,3;FALSE;Seed
474;April 7, 2022;Improbable;a U.K.-based metaverse technology company;$150 million;150;FALSE;Unknown
475;April 7, 2022;Grover;Berlin-based electronics rental platform;$110 million;110;FALSE;Series C
476;April 7, 2022;CAIS;a New York-based alternative investment platform;$100 million;100;FALSE;Unknown
477;April 7, 2022;Productsup;a Berlin-based commerce software company;$70.9 million;70,9;FALSE;Series B
478;April 7, 2022;Fidel API,; London-based financial infrastructure platform;$65 million;65;FALSE;Series B
479;April 7, 2022;Lilt;a San Francisco-based translation software and services company;$55 million;55;FALSE;Seed
480;April 7, 2022;Ellevest;a New York-based female-focused digital investment platform;$53 million;53;FALSE;Series B
481;April 7, 2022;Ascend.io;a Menlo Park, Calif.-based data automation company for engineering;$31 million;31;TRUE;Series B
482;April 7, 2022;InvestorFlow;a Menlo Park, Calif.-based investor portal for alternative asset managers;$30 million;30;FALSE;Series A
483;April 7, 2022;Rattle;a San Francisco-based revenue automation platform for sales teams;$26 million;26;FALSE;Series A
484;April 7, 2022;vHive;a Herzliya, Israel-based software company using autonomous drones to capture data;$25 million;25;TRUE;Series B
485;April 7, 2022;Loaded;a Santa Monica, Calif.-based talent management and marketing firm for gaming content creators, brands, and game developers;$20 million;20;FALSE;Unknown
486;April 7, 2022;Venus Aerospace;a Houston-based hypersonic aircraft developer;$20 million;20;FALSE;Series A
487;April 7, 2022;Endel;a Berlin-based sound wellness company;$15 million;15;FALSE;Series B
488;April 7, 2022;Instoried;a Bangalore, India-based online writing platform;$10 million;10;FALSE;Series A
489;April 7, 2022;Gaviti;a Tel Aviv-based automated accounts receivable collections platform;$9 million;9;FALSE;Series A
490;April 7, 2022;Finkargo;a Bogota, Colombia-based import finance platform;$7.5 million;7,5;FALSE;Seed
491;April 7, 2022;Novel;a New York-based Web3 commerce platform;$6 million;6;FALSE;Seed
492;April 7, 2022;Starlight;a New York-based crypto management platform;$5 million;5;FALSE;Seed
493;April 7, 2022;Legendary Play;a Berlin-based esports-themed mobile games developer;$4 million;4;FALSE;Unknown
494;April 6, 2022;Climeworks;a Zürich-based carbon removal technology company;$600 million;600;FALSE;Unknown
495;April 6, 2022;Remote;a San Francisco-based HR management platform;$300 million;300;FALSE;Series C
496;April 6, 2022;Grafana Labs;a New York-based performance monitoring platform developer;$240 million;240;FALSE;Series D
497;April 6, 2022;Binance.US;the digital asset exchange and marketplace's U.S. division;$200 million;200;FALSE;Seed
498;April 6, 2022;Sweep;a Montpellier, France carbon management platform;$73 million;73;FALSE;Series B
499;April 6, 2022;Avi Medical;a Munich-based healthcare provider;$54.6 million;54,6;FALSE;Series B
500;April 6, 2022;ClimeCo;a Boyertown, Pa.-based management and development of environmental commodities advisors;$50 million;50;FALSE;Unknown
501;April 6, 2022;data.world;an Austin-based data catalog platform;$50 million;50;TRUE;Series C
502;April 6, 2022;Amenitiz;Barcelona-based property management platform for hotels;$30 million;30;FALSE;Series A
503;April 6, 2022;SmartHop;a Miami-based technology platform for small trucking companies;$30 million;30;FALSE;Series B
504;April 6, 2022;Evernow;a San Francisco-based menopause telehealth startup;$28.5 million;28,5;FALSE;Series A
505;April 6, 2022;Savana;a Madrid, Spain-based A.I.-based health record management platform;$25 million;25;TRUE;Unknown
506;April 6, 2022;Hivemapper;a San Francisco-based decentralized mapping network developer with a crypto-integrated dashcam;$18 million;18;FALSE;Series A
507;April 6, 2022;GOALS;a Stockholm-based online soccer game;$15 million;15;FALSE;Seed
508;April 6, 2022;Brilliant Planet;a London-based carbon capture and storage company;$12 million;12;FALSE;Series A
509;April 6, 2022;Overwatch Imaging;a Hood River, Ore.-based airborne imaging systems for piloted aircraft and drones provider;$11.15 million;11,15;FALSE;Seed
510;April 6, 2022;Timeline;an Essex, U.K.-based financial planning platform;$8 million;8;FALSE;Series A
511;April 6, 2022;StackBlitz;a San Francisco-based collaborative web development platform;$7.9 million;7,9;FALSE;Seed
512;April 6, 2022;Afficiency;a New York-based digital life insurance policies marketplace;$7 million;7;FALSE;Series A
513;April 6, 2022;Flexia;a Berkeley, Calif.-based in-home pilates station;$4 million;4;FALSE;Seed
514;April 6, 2022;Leap;a wallet for Terra;$3.2 million;3,2;FALSE;Seed
515;April 6, 2022;Playhouse;a San Francisco-based real estate video listing platform;$2.8 million;2,8;FALSE;Seed
516;April 5, 2022;The Honest Kitchen;a San Diego-based pet food brand;$150 million;150;FALSE;Unknown
517;April 5, 2022;LinkSquares;a Boston-based contract management software company;$100 million;100;FALSE;Series C
518;April 5, 2022;Tinybird;a New York-based software developer that builds data products;$37 million;37;TRUE;Series A
519;April 5, 2022;Appwrite;a Tel Aviv-based open source backend-as-a-service platform for web, mobile, and flutter developers;$27 million;27;FALSE;Seed
520;April 5, 2022;Future Family;a San Francisco-based IVF and egg fertility treatments loan provider;$25 million;25;FALSE;Series B
521;April 5, 2022;RenoFi;a Philadelphia-based home renovation loan platform provider;$14 million;14;FALSE;Series A
522;April 5, 2022;Airgap Networks;a Santa Clara, Calif,-based cybersecurity platform that prevents ransomware;$13.4 million;13,4;TRUE;Series A
523;April 5, 2022;Corsha;a Washington D.C.-based API security company;$12 million;12;TRUE;Series A
524;April 5, 2022;8base;a Miami-based development platform for building digital products and internal applications;$10.6 million;10,6;FALSE;Series A
525;April 5, 2022;Nudge Security;an Austin-based cybersecurity startup;$7 million;7;TRUE;Seed
526;April 5, 2022;Parallel Finance;a decentralized lending and staking protocol;$5 million;5;FALSE;Unknown
527;April 5, 2022;Book Salon;a Helsinki, Finland-based payment and booking service provider for hair, beauty, and wellness companies;$3.3 million;3,3;FALSE;Unknown
528;April 5, 2022;Loanwell;a Durham, N.C.-based automated loan and grant platform;$3 million;3;FALSE;Unknown
529;April 4, 2022;Collectors Holdings;a Santa Ana, Calif.-based collectibles authentication, management, and marketplace services provider;$100 million;100;FALSE;Unknown
530;April 4, 2022;Labster;a Copenhagen-based virtual labs and interactive science platform;$47 million;47;FALSE;Unknown
531;April 4, 2022;Budget Insight;a Paris-based aggregator of banking and financial data;$35 million;35;TRUE;Unknown
532;April 4, 2022;Fractal;a marketplace for gaming NFTs;$35 million;35;FALSE;Seed
533;April 4, 2022;ARC Clean Energy Canada;a Saint John, New Brunswick, Canada-based advanced small modular reactor technology provider;$30 million;30;FALSE;Unknown
534;April 4, 2022;VivoSense;a Newport Coast, Calif.-based healthcare analytics software developer;$25 Million;25;TRUE;Series A
535;April 4, 2022;lemon.markets;a Berlin-based API provider for stock trading and market data;$16.6 million;16,6;TRUE;Seed
536;April 4, 2022;PocketHealth;a Toronto-based medical image sharing platform for patients;$16 million;16;FALSE;Series A
537;April 4, 2022;Antimatter;an Oakland, Calif.-based data security company for SaaS applications;$12 million;12;TRUE;Series A
538;April 4, 2022;Token||Traxx;an NFT platform for the music industry;$5 million;5;FALSE;Unknown
539;April 4, 2022;IBEX Mercado;a Guatemala City, Guatemala-based company that connects banks, businesses, and the people to Bitcoin via Lightning Network;$4 million;4;FALSE;Seed
540;April 4, 2022;Clockwork;a Chicago-based financial planning and analysis platform;$2 million;2;FALSE;Seed
541;April 11, 2022;Epic Games;a Cary, N.C.-based video game and software developer and publisher, creating games such as Fortnite;$2 billion;2000;FALSE;Unknown
542;April 11, 2022;Enerkem;a Montreal-based company producing renewable fuels and chemicals from waste;$100 million;100;FALSE;Unknown
543;April 11, 2022;Viz.ai;a San Francisco-based disease detection and care coordination platform;$100 million;100;FALSE;Series D
544;April 11, 2022;CertiK;a New York-based web3 and blockchain security firm;$88 million;88;TRUE;Series B
545;April 11, 2022;Ansa Biotechnologies;an Emeryville, Calif.-based DNA synthesis service for synthetic biology research;$68 million;68;FALSE;Series A
546;April 11, 2022;Eleanor Health;a Waltham, Mass.-based addiction and mental healthcare provider;$50 million;50;FALSE;Series C
547;April 11, 2022;Vytalize;a Hoboken, N.J.-based care platform for seniors;$47 million;47;FALSE;Series B
548;April 11, 2022;Thunkable;a San Francisco-based no-code mobile app development platform;$30 million;30;TRUE;Series B
549;April 11, 2022;Landline;a Fort Collins, Colo.-based flight transportation platform;$28 million;28;FALSE;Series A
550;April 11, 2022;Kumo;a San Francisco-based data-focused SaaS A.I. platform;$18.5 million;18,5;TRUE;Series A
551;April 11, 2022;Leaft Foods;a Lincoln, New Zealand-based plant-based protein producer;$15 million;15;FALSE;Series A
552;April 11, 2022;LawVu;a Tauranga, New Zealand-based software platform for in-house legal teams;$13.5 million;13,5;FALSE;Series A
553;April 11, 2022;Branch;a New York-based office furniture startup;$10 million;10;FALSE;Series A
554;April 11, 2022;Pangea Biomed;a Tel Aviv-based precision oncology biotech company;$7 million;7;FALSE;Seed
555;April 11, 2022;Regulatory Genome Development;a Cambridge, U.K.-based machine-readable regulatory content provider;$6 million;6;FALSE;Seed
556;April 11, 2022;Crurated;a London-based membership wine community;$3.3 million;3,3;FALSE;Unknown
557;April 11, 2022;Dragonfly AI;a London-based predictive visual analytics platform;$3.3 million;3,3;TRUE;Series A
558;April 11, 2022;Ghost Financial;an Austin-based financing and business services platform for ghost kitchens and restaurants;$2.5 million;2,5;FALSE;Seed
559;April 12, 2022;Voyager Innovations;a Manila-based technology company that owns PayMaya and Maya Bank;$210 million;210;FALSE;Unknown
560;April 12, 2022;Newfront;a San Francisco-based insurance brokerage platform;$200 million;200;FALSE;Unknown
561;April 12, 2022;Pax8;a Denver-based cloud services provider for small businesses;$185 million;185;FALSE;Unknown
562;April 12, 2022;Genies;an avatar technology company to create and sell online characters;$150 million;150;FALSE;Unknown
563;April 12, 2022;Observe.AI;a San Francisco-based workforce platform for contact centers;$125 million;125;FALSE;Series C
564;April 12, 2022;Natural Fiber Welding;a Peoria, Ill.-based sustainable materials startup;$85 million;85;FALSE;Unknown
565;April 12, 2022;IMMO;a London-based residential investment platform;$75 million;75;FALSE;Series B
566;April 12, 2022;Trace;an Austin-based sports game film platform;$47 million;47;FALSE;Series C
567;April 12, 2022;Jobox;a Palo Alto-based infrastructure provider to home service marketplaces and retailers;$42 million;42;FALSE;Series B
568;April 12, 2022;Real;a New York-based mental wellness platform;$37 million;37;FALSE;Series B
569;April 12, 2022;Quiq;a Bozeman, Mont.-based A.I. conversational platform for brands;$25 million;25;TRUE;Series C
570;April 12, 2022;Terradepth;an Austin-based ocean data and dissemination company;$20 million;20;TRUE;Unknown
571;April 12, 2022;EQL;a Melbourne, Australia-based launch platform for retailers;$25 million;25;FALSE;Unknown
572;April 12, 2022;Sydecar;a San Francisco-based deal execution platform for venture capital investing;$8.3 million;8,3;FALSE;Seed
573;April 12, 2022;Glow Labs;a loyalty rewards software on the blockchain;$4.15 million;4,15;FALSE;Seed
574;April 12, 2022;Swoops;an NFT basketball game;$3.5 million;3,5;FALSE;Unknown
575;April 12, 2022;TellTail;a Boston-based platform for pet breeders;$3.4 million;3,4;FALSE;Seed
576;April 12, 2022;Lucky;a New York and Miami-based omnichannel commerce tech company;$3 million;3;FALSE;Seed
577;April 12, 2022;Connectd;a London-based network for early-stage businesses;$1.6 million;1,6;FALSE;Seed
578;April 13, 2022;Circle Internet Financial;a Boston-based global internet finance firm and the issuer of USD Coin, agreed t;$400 million;400;FALSE;Unknown
579;April 13, 2022;Critical Start;a Plano, Texas-based managed detection and response cybersecurity solutions provider;$215 million;215;TRUE;Unknown
580;April 13, 2022;Viral Nation;an Ontario-based digital and social media group;$250 million;250;FALSE;Unknown
581;April 13, 2022;OSF Digital;a Quebec-based commerce and digital transformation solutions provider;$100 million;100;FALSE;Series C
582;April 13, 2022;Kubit;a San Francisco-based product analytics company;$18 million;18;TRUE;Series A
583;April 13, 2022;Grain;a San Francisco-based video meeting workspace;$16 million;16;FALSE;Series A
584;April 13, 2022;9am.health;a San Diego-based virtual diabetes clinic;$16 million;16;FALSE;Series A
585;April 13, 2022;Charge Amps;a Solna, Sweden-based EV charging solutions provider;$15.7 million;15,7;FALSE;Unknown
586;April 13, 2022;Umba;a San Francisco and Lagos, Nigeria-based digital bank for African countries;$15 million;15;FALSE;Series A
587;April 13, 2022;Dfns;a Paris-based cybersecurity startup that provides decentralized custody as an API;$13.5 million;13,5;TRUE;Unknown
588;April 13, 2022;RentRedi;a New York-based property management software for landlords;$12 million;12;FALSE;Series A
589;April 13, 2022;Montonio;a Tallinn, Estonia-based finance platform for online merchants;$11.9 million;11,9;FALSE;Series A
590;April 13, 2022;Last9;a San Francisco-based software reliability platform;$11 million;11;FALSE;Series A
591;April 13, 2022;Scotch Porter;a Newark, N.J.-based grooming and wellness brand;$11 million;11;FALSE;Series B
592;April 13, 2022;Formations;a Bellevue, Wash.-based financial management solution for the self-employed;$8 million;8;FALSE;Series A
593;April 13, 2022;Neighborschools;a Boston-based company that helps early child care workers go independent and open in-home daycares;$5 million;5;FALSE;Seed
594;April 13, 2022;Reputation DAO;an Australian-based reputation service for DeFi;$4.75 million;4,75;FALSE;Seed
595;April 13, 2022;Socket Supply Co;a New York-based developer tools company for cloud computing;$3.5 million;3,5;FALSE;Seed
596;April 13, 2022;Hookdeck;a Montreal-based webhook infrastructure startup;$2.4 million;2,4;FALSE;Seed
597;April 13, 2022;Wavy;a Toronto-based culture management platform;$2.5 million;2,5;FALSE;Seed
598;April 13, 2022;GoSolo;a London-based banking app for international founders and entrepreneurs;$1 million;1;FALSE;Unknown
599;April 14, 2022;Tata Power;a Mumbai-based electric utility company, plans t;$525.8 million;525,8;FALSE;Unknown
600;April 14, 2022;Kpler;a Brussels-based data, analytics, and market insight provider;$200 million;200;TRUE;Unknown
601;April 14, 2022;Salsify;a Boston-based commerce experience management platform for brand manufacturers, distributors, and retailers;$200 million;200;FALSE;Series F
602;April 14, 2022;Wagestream;an Arlington, Va.-based wage management platform for frontline workers;$175 million;175;FALSE;Series C
603;April 14, 2022;Filevine;a Salt Lake City, Utah-based legal work platform;$108 million;108;FALSE;Series D
604;April 14, 2022;Obsidian Security;a Newport Beach, Calif.-based SaaS security and compliance company;$90 million;90;TRUE;Series C
605;April 14, 2022;CDR-Life;a Zurich-based cancer treatment biotechnology company;$76 million;76;FALSE;Series A
606;April 14, 2022;MedTrainer;a Las Vegas-based health care credentialing, training, and compliance management company;$43 million;43;FALSE;Series B
607;April 14, 2022;Twingate;a Redwood City, Calif.-based zero trust security implementation company;$42 million;42;TRUE;Series B
608;April 14, 2022;Iris Telehealth;an Austin-based telepsychiatry company for clinics and hospitals;$40 million;40;FALSE;Series B
609;April 14, 2022;DoControl;a New York-based automated SaaS security company;$30 million;30;TRUE;Series B
610;April 14, 2022;Welcome Tech;a Los Angeles-based digital services platform for immigrant families;$30 million;30;FALSE;Unknown
611;April 14, 2022;Shipium;a Seattle-based supply chain platform for ecommerce;$27.5 million;27,5;FALSE;Series A
612;April 14, 2022;Raptor Maps;a Boston-based analytics, insights, and productivity software provider for the solar lifecycle;$22 million;22;TRUE;Series B
613;April 14, 2022;EvolutionIQ;a New York-based claims guidance platform for insurance carriers;$21 million;21;FALSE;Series A
614;April 14, 2022;Noogata;a New York and Tel Aviv-based data analytics platform for businesses;$16 million;16;TRUE;Series A
615;April 14, 2022;DUOS;a New York-based digital health company focused on senior care;$15 million;15;FALSE;Series A
616;April 14, 2022;Compt;a Boston-based employee perk stipend software company;$13 million;13;FALSE;Series A
617;April 14, 2022;NODAR;a Somerville, Mass.-based 3D vision company;$12 million;12;FALSE;Series A
618;April 14, 2022;Tagboard;a Redmond, Wash.-based cloud production and graphics platform;$10.3 million;10,3;FALSE;Series A
619;April 14, 2022;Union.ai;a Bellevue, Wash.-based workflow orchestration platform provider;$10 million;10;FALSE;Seed
620;April 14, 2022;OFFOR Health;a Columbus, Ohio-based health care company that coordinates on-site anesthesia and specialty medical services for dental and medical offices;$9 million;9;FALSE;Series A
621;April 14, 2022;Pictor;a Los Angeles, Calif. and New Zealand-based in vitro diagnostics company;$6.1 million;6,1;FALSE;Unknown
622;April 14, 2022;Mikuna;a Santa Barbara, Calif.-based plant-based food producer;$5.6 million;5,6;FALSE;Seed
623;April 14, 2022;Design Pharmaceuticals;a Cambridge, Mass.-based company focused on small molecule drug discovery;$5 million;5;FALSE;Seed
624;April 14, 2022;Ugami;a financial rewards solution for gamers;$4.8 million;4,8;FALSE;Seed
625;April 14, 2022;Coginiti;an Atlanta-based collaborative data management and analytics platform;$4 million;4;TRUE;Unknown
626;April 14, 2022;Loop;a crypto company providing autopay for Web3;$4 million;4;FALSE;Seed
627;April 14, 2022;Chattr;a Tampa, Fla.-based HR automation software;$3.7 million;3,7;FALSE;Seed
628;April 14, 2022;Replan;a London-based supply chain technology company today;$2.6 million;2,6;FALSE;Unknown
629;April 14, 2022;The Joy Club;a Bristol, U.K.-based community-based platform for retirees to discover events, passions, and friendships;$1.4 million;1,4;FALSE;Unknown
630;April 14, 2022;Altogic;an Istanbul-based backend app development platform;$1 million;1;FALSE;Seed
631;April 18, 2022;BlueOcean;a San Francisco-based brand decision platform for executive leadership;$30 million;30;FALSE;Series B
632;April 18, 2022;JULO;a Jakarta-based digital lending platform;$30 million;30;FALSE;Unknown
633;April 18, 2022;Cal.com;a remote-based scheduling platform;$25 million;25;FALSE;Series A
634;April 18, 2022;Backbone;a San Francisco-based supply chain software company;$14 million;14;FALSE;Unknown
635;April 18, 2022;Mytaverse;a Miami-based VR/AR meetings platform;$7.6 million;7,6;FALSE;Seed
636;April 18, 2022;Nowadays;a San Francisco-based plant-based meat company;$7 million;7;FALSE;Seed
637;April 18, 2022;Theia;a Sao-Paulo-based women's health company connecting pregnant women to maternity professionals;$6 million;6;FALSE;Seed
638;April 18, 2022;OnePlan;a London-based mapping and digital software company for sports venues and events;$5.3 million;5,3;FALSE;Unknown
639;April 18, 2022;Sika;a New York-based payments platform using FSA/HSA wallets;$5 million;5;FALSE;Seed
640;April 18, 2022;trac;a Los Angeles-based musician monetization platform;$2.5 million;2,5;FALSE;Seed
641;April 19, 2022;CoinDCX;a Mumbai-based cryptocurrency exchange;$135 million;135;FALSE;Series D
642;April 19, 2022;Fortress Information Security;an Orlando, Fla.-based supply chain cybersecurity provider;$125 million;125;TRUE;Unknown
643;April 19, 2022;SEON;a London-based online fraud detection and prevention company;$94 million;94;FALSE;Series B
644;April 19, 2022;HomeTown Ticketing;a Columbus, Ohio-based digital ticketing and event software for schools, districts, conferences, and associations;$75 million;75;FALSE;Unknown
645;April 19, 2022;Unlearn.ai;a San Francisco-based machine-learning platform developer creating digital twins of patients in clinical trials;$50 million;50;FALSE;Series B
646;April 19, 2022;GRUBBRR;a Boca Raton, Fla.-based self-ordering systems and kiosk software provider;$35 million;35;FALSE;Unknown
647;April 19, 2022;Demostack;a San Francisco and Tel Aviv-based demo experience platform for SaaS sales teams;$34 million;34;FALSE;Series B
648;April 19, 2022;Air Company;a New York-based carbon-negative alcohols and consumer products creator;$30 million;30;FALSE;Series A
649;April 19, 2022;A SHOC Energy;a Newport Beach, Calif.-based energy drink company;$29 million;29;FALSE;Series B
650;April 19, 2022;One More Game;a Seattle-based game studio;$22 million;22;FALSE;Series A
651;April 19, 2022;​​Enso;a San Francisco-based data processing and visualization platform;$16.5 million;16,5;TRUE;Unknown
652;April 19, 2022;Soter Analytics;a London-based global ergonomic technology company;$12 million;12;FALSE;Series A
653;April 19, 2022;Speckle;a London-based 3D data platform;$5.5 million;5,5;TRUE;Seed
654;April 19, 2022;Trust;a Los Angeles-based network for brands;$5 million;5;FALSE;Unknown
